trade_id,entry_timestamp,exit_timestamp,direction,entry_price,exit_price,return_pct,mfe_pct,mae_pct,peak_unrealized_pct,profit_given_back,hours_in_trade,exit_reason,leverage,equity_before,equity_after
1,2024-01-02T12:00:00.000Z,2024-01-04T12:00:00.000Z,short,109.61,103.66,5.4283,11.1577,0.0000,11.1577,5.7294,48.00,trailing_stop_5pct,1,10000.00,10542.83
2,2024-01-05T00:00:00.000Z,2024-01-08T12:00:00.000Z,short,100.95,94.67,6.2209,13.5711,-0.1981,13.5711,7.3502,84.00,trailing_stop_5pct,1,10542.83,11198.69
3,2024-01-09T16:00:00.000Z,2024-01-10T20:00:00.000Z,short,99.29,102,-2.7294,4.5422,-2.7294,4.5422,7.2716,28.00,trailing_stop_5pct,1,11198.69,10893.04
4,2024-01-11T08:00:00.000Z,2024-01-11T12:00:00.000Z,long,104.43,100.79,-3.4856,0.0000,-3.4856,0.0000,3.4856,4.00,opposite_signal,1,10893.04,10513.35
5,2024-01-14T08:00:00.000Z,2024-01-14T12:00:00.000Z,short,96.74,99.49,-2.8427,0.0000,-2.8427,0.0000,2.8427,4.00,opposite_signal,1,10513.35,10214.49
6,2024-01-14T16:00:00.000Z,2024-01-16T04:00:00.000Z,short,96.14,97.73,-1.6538,2.7356,-1.6538,2.7356,4.3894,36.00,opposite_signal,1,10214.49,10045.56
7,2024-01-16T08:00:00.000Z,2024-01-17T00:00:00.000Z,short,96.7,99.96,-3.3713,0.0000,-3.3713,0.0000,3.3713,16.00,opposite_signal,1,10045.56,9706.90
8,2024-01-17T04:00:00.000Z,2024-01-17T08:00:00.000Z,short,97.32,102.02,-4.8294,0.0000,-4.8294,0.0000,4.8294,4.00,opposite_signal,1,9706.90,9238.11
9,2024-01-17T12:00:00.000Z,2024-01-17T16:00:00.000Z,short,99.38,100.79,-1.4188,0.0000,-1.4188,0.0000,1.4188,4.00,opposite_signal,1,9238.11,9107.04
10,2024-01-24T16:00:00.000Z,2024-01-24T20:00:00.000Z,short,86.37,88.77,-2.7787,0.0000,-2.7787,0.0000,2.7787,4.00,opposite_signal,1,9107.04,8853.98
11,2024-01-25T12:00:00.000Z,2024-01-26T08:00:00.000Z,short,86.41,91.95,-6.4113,0.0000,-6.4113,0.0000,6.4113,20.00,opposite_signal,1,8853.98,8286.33
12,2024-01-27T12:00:00.000Z,2024-01-28T16:00:00.000Z,long,92.83,94.49,1.7882,6.0002,0.0000,6.0002,4.2120,28.00,opposite_signal,1,8286.33,8434.50
13,2024-01-29T00:00:00.000Z,2024-01-29T04:00:00.000Z,long,97.85,96.72,-1.1548,0.0000,-1.1548,0.0000,1.1548,4.00,opposite_signal,1,8434.50,8337.10
14,2024-01-29T08:00:00.000Z,2024-01-30T20:00:00.000Z,long,97.44,101.4,4.0640,8.8567,0.0000,8.8567,4.7927,36.00,opposite_signal,1,8337.10,8675.92
15,2024-02-02T04:00:00.000Z,2024-02-02T16:00:00.000Z,long,101.21,99.46,-1.7291,0.7509,-1.7291,0.7509,2.4800,12.00,opposite_signal,1,8675.92,8525.91
16,2024-02-09T20:00:00.000Z,2024-02-10T20:00:00.000Z,long,106.94,109.01,1.9357,3.4879,0.0000,3.4879,1.5523,24.00,opposite_signal,1,8525.91,8690.94
17,2024-02-11T00:00:00.000Z,2024-02-11T04:00:00.000Z,long,109.43,109.22,-0.1919,0.0000,-0.1919,0.0000,0.1919,4.00,opposite_signal,1,8690.94,8674.26
18,2024-02-12T12:00:00.000Z,2024-02-13T12:00:00.000Z,long,108.86,110.31,1.3320,4.8503,0.0000,4.8503,3.5183,24.00,opposite_signal,1,8674.26,8789.80
19,2024-02-14T08:00:00.000Z,2024-02-15T04:00:00.000Z,long,115.66,115.01,-0.5620,1.3574,-0.5620,1.3574,1.9194,20.00,opposite_signal,1,8789.80,8740.41
20,2024-02-18T20:00:00.000Z,2024-02-19T00:00:00.000Z,short,112.24,111.68,0.4989,0.4989,0.0000,0.4989,0.0000,4.00,1d_trend_mismatch,1,8740.41,8784.01
21,2024-02-19T04:00:00.000Z,2024-02-19T08:00:00.000Z,long,113.22,112.67,-0.4858,0.0000,-0.4858,0.0000,0.4858,4.00,opposite_signal,1,8784.01,8741.34
22,2024-02-19T12:00:00.000Z,2024-02-19T16:00:00.000Z,long,113.69,111.94,-1.5393,0.0000,-1.5393,0.0000,1.5393,4.00,opposite_signal,1,8741.34,8606.79
23,2024-02-24T20:00:00.000Z,2024-02-26T12:00:00.000Z,short,104.01,104.97,-0.9230,2.9420,-0.9230,2.9420,3.8650,40.00,opposite_signal,1,8606.79,8527.35
24,2024-02-28T04:00:00.000Z,2024-02-28T16:00:00.000Z,long,110.08,111.34,1.1446,2.7162,0.0000,2.7162,1.5716,12.00,opposite_signal,1,8527.35,8624.96
25,2024-02-28T20:00:00.000Z,2024-02-29T20:00:00.000Z,long,119.03,125.68,5.5868,11.1653,0.0000,11.1653,5.5784,24.00,trailing_stop_5pct,1,8624.96,9106.82
26,2024-03-04T08:00:00.000Z,2024-03-04T12:00:00.000Z,long,132.58,131.77,-0.6110,0.0000,-0.6110,0.0000,0.6110,4.00,opposite_signal,1,9106.82,9051.18
27,2024-03-04T20:00:00.000Z,2024-03-05T00:00:00.000Z,long,133.27,130.13,-2.3561,0.0000,-2.3561,0.0000,2.3561,4.00,opposite_signal,1,9051.18,8837.92
28,2024-03-05T12:00:00.000Z,2024-03-05T16:00:00.000Z,long,139.18,119.24,-14.3268,0.0000,-14.3268,0.0000,14.3268,4.00,opposite_signal,1,8837.92,7571.73
29,2024-03-06T04:00:00.000Z,2024-03-06T12:00:00.000Z,long,133.2,128.22,-3.7387,0.0000,-3.7387,0.0000,3.7387,8.00,opposite_signal,1,7571.73,7288.65
30,2024-03-07T00:00:00.000Z,2024-03-08T20:00:00.000Z,long,138.19,144.79,4.7760,7.8081,0.0000,7.8081,3.0321,44.00,opposite_signal,1,7288.65,7636.75
31,2024-03-09T04:00:00.000Z,2024-03-09T08:00:00.000Z,long,148.33,146.82,-1.0180,0.0000,-1.0180,0.0000,1.0180,4.00,opposite_signal,1,7636.75,7559.01
32,2024-03-10T04:00:00.000Z,2024-03-10T08:00:00.000Z,long,148.27,145.42,-1.9222,0.0000,-1.9222,0.0000,1.9222,4.00,opposite_signal,1,7559.01,7413.72
33,2024-03-11T04:00:00.000Z,2024-03-11T12:00:00.000Z,long,147.85,147.06,-0.5343,0.2773,-0.5343,0.2773,0.8116,8.00,opposite_signal,1,7413.72,7374.10
34,2024-03-11T20:00:00.000Z,2024-03-12T08:00:00.000Z,long,148.83,150.45,1.0885,2.0359,0.0000,2.0359,0.9474,12.00,opposite_signal,1,7374.10,7454.37
35,2024-03-13T08:00:00.000Z,2024-03-14T16:00:00.000Z,long,153.73,162.42,5.6528,12.5935,0.0000,12.5935,6.9407,32.00,trailing_stop_5pct,1,7454.37,7875.75
36,2024-03-14T20:00:00.000Z,2024-03-15T08:00:00.000Z,long,176.65,170,-3.7645,0.0000,-3.7645,0.0000,3.7645,12.00,opposite_signal,1,7875.75,7579.26
37,2024-03-15T12:00:00.000Z,2024-03-16T16:00:00.000Z,long,181.84,180.08,-0.9679,7.2811,-0.9679,7.2811,8.2490,28.00,trailing_stop_5pct,1,7579.26,7505.90
