trade_id,entry_timestamp,exit_timestamp,direction,entry_price,exit_price,return_pct,mfe_pct,mae_pct,peak_unrealized_pct,profit_given_back,hours_in_trade,exit_reason,leverage,equity_before,equity_after
1,2025-12-19T09:00:00.000Z,2025-12-23T05:00:00.000Z,short,126.16,123.3,2.2670,2.2670,-1.4743,2.2670,0.0000,92.00,opposite_signal,1,10000.00,10226.70
2,2025-12-27T17:00:00.000Z,2025-12-30T05:00:00.000Z,short,124.05,125.03,-0.7900,0.9029,-3.5470,0.9029,1.6929,60.00,opposite_signal,1,10226.70,10145.90
3,2026-01-07T13:00:00.000Z,2026-01-08T17:00:00.000Z,long,136.27,140.64,3.2069,3.2069,-1.2255,3.2069,0.0000,28.00,opposite_signal,1,10145.90,10471.27
4,2026-01-10T05:00:00.000Z,2026-01-11T09:00:00.000Z,long,136.25,139.27,2.2165,2.2165,-0.4183,2.2165,0.0000,28.00,opposite_signal,1,10471.27,10703.37
5,2026-01-15T09:00:00.000Z,2026-01-21T17:00:00.000Z,long,141.51,129.73,-8.3245,2.3461,-11.2006,2.3461,10.6706,152.00,opposite_signal,1,10703.37,9812.37
6,2026-01-23T13:00:00.000Z,2026-01-28T17:00:00.000Z,short,127.28,122.88,3.4569,7.4246,-0.5657,7.4246,3.9676,124.00,opposite_signal,1,9812.37,10151.57
7,2026-01-30T09:00:00.000Z,2026-01-31T09:00:00.000Z,short,118.12,101.63,13.9604,13.9604,-0.0762,13.9604,0.0000,24.00,take_profit_10pct,1,10151.57,11568.77
8,2026-02-02T17:00:00.000Z,2026-02-03T13:00:00.000Z,short,104.06,97.75,6.0638,6.0638,-0.5189,6.0638,0.0000,20.00,opposite_signal,1,11568.77,12270.28
9,2026-02-06T01:00:00.000Z,2026-02-09T01:00:00.000Z,short,81.28,83.39,-2.5960,0.0000,-8.6983,0.0000,2.5960,72.00,opposite_signal,1,12270.28,11951.75
10,2026-02-12T01:00:00.000Z,2026-02-15T13:00:00.000Z,short,81.86,86.1,-5.1796,5.2529,-10.7989,5.2529,10.4324,84.00,opposite_signal,1,11951.75,11332.70
11,2026-02-22T09:00:00.000Z,2026-02-24T17:00:00.000Z,long,83.27,81.74,-1.8374,0.0000,-7.8179,0.0000,1.8374,56.00,opposite_signal,1,11332.70,11124.47
12,2026-02-28T09:00:00.000Z,2026-03-05T21:00:00.000Z,short,82.22,88.42,-7.5407,0.0000,-13.9990,0.0000,7.5407,132.00,opposite_signal,1,11124.47,10285.60
13,2026-03-09T10:00:00.000Z,2026-03-11T22:00:00.000Z,short,85.07,85.02,0.0588,0.6348,-3.8556,0.6348,0.5760,60.00,opposite_signal,1,10285.60,10291.65
